model,variation,content,style,lpips,dinov2,psnr,ssim
BB,controlnet_ip_adapter,content3,style2,0.641024,0.906327,10.208177,0.168156
BB,controlnet_ip_adapter,content3,style3,0.657749,0.875527,8.834406,0.213888
BB,controlnet_ip_adapter,content3,style4,0.545822,0.858397,11.308391,0.273470
BB,controlnet_ip_adapter,content3,style5,0.578996,0.798097,11.013549,0.237790
BB,controlnet_ip_adapter,content4,style1,0.454473,0.684250,7.771585,0.400803
BB,controlnet_ip_adapter,content4,style2,0.530251,0.799810,8.092834,0.267104
BB,controlnet_ip_adapter,content4,style3,0.626264,0.905529,6.323026,0.256157
BB,controlnet_ip_adapter,content4,style4,0.490313,0.554499,10.141967,0.353414
BB,controlnet_ip_adapter,content4,style5,0.503696,0.662319,9.242524,0.321148
BB,controlnet_ip_adapter,content5,style1,0.641932,0.455030,11.990541,0.301537
BB,controlnet_ip_adapter,content5,style2,0.684065,0.647819,11.113030,0.183593
BB,controlnet_ip_adapter,content5,style3,0.730667,0.695123,9.731251,0.208151
BB,controlnet_ip_adapter,content5,style4,0.630307,0.579967,11.852309,0.245671
BB,controlnet_ip_adapter,content5,style5,0.563759,0.312746,13.238432,0.310138
CC,no_adapter,content1,style1,0.639605,0.828170,12.900715,0.315929
CC,no_adapter,content1,style2,0.650824,0.950749,13.662930,0.408698
CC,no_adapter,content1,style3,0.663273,0.917321,13.696787,0.440330
CC,no_adapter,content1,style4,0.648399,0.615107,12.381289,0.249471
CC,no_adapter,content1,style5,0.645167,0.770390,13.763295,0.420877
CC,no_adapter,content2,style1,0.691687,0.656202,13.571704,0.244270
CC,no_adapter,content2,style2,0.663037,0.790515,12.945607,0.243814
CC,no_adapter,content2,style3,0.694350,0.784825,13.495263,0.322123
CC,no_adapter,content2,style4,0.633677,0.559514,13.366868,0.240960
CC,no_adapter,content2,style5,0.654896,0.307525,13.045321,0.190449
CC,no_adapter,content3,style1,0.507020,1.007764,13.950134,0.446467
CC,no_adapter,content3,style2,0.553517,0.920777,13.694452,0.363744
CC,no_adapter,content3,style3,0.473729,0.948568,14.336568,0.436622
CC,no_adapter,content3,style4,0.497130,0.934433,13.862559,0.391127
CC,no_adapter,content3,style5,0.525092,0.968351,13.824405,0.332080
CC,no_adapter,content4,style1,0.506361,0.757761,12.998914,0.393575
CC,no_adapter,content4,style2,0.387456,0.905441,13.717608,0.442522
CC,no_adapter,content4,style3,0.411506,0.841946,13.624695,0.440587
